Customer ID,Customer Name,Age Group,Gender,Region,Product Category,Sales Amount,Profit,Purchase Date,Discount (%),Payment Method,Customer Loyalty Level,Customer Satisfaction Score
1,Erik Wilson,36-45,Female,Europe,Toys,2105.72,1009,09-02-2024,9.91,Cash,Platinum,2.8
2,Blake Gonzalez,36-45,Other,Australia,Groceries,1873.67,440.65,08-08-2024,15.75,Debit Card,Platinum,4.4
3,Gregory Sanders,60+,Other,Asia,Clothing,3551.79,1318.11,31-01-2024,15.7,Credit Card,Platinum,3.4
4,Caleb White,18-25,Female,Africa,Clothing,1554,74.59,04-07-2024,10.72,Credit Card,Bronze,4.3
5,Amy Winters,26-35,Male,Africa,Furniture,4772.48,200.78,02-02-2024,3.43,Bank Transfer,Gold,1.5
6,Laura Molina,36-45,Male,Africa,Electronics,1833.63,1159.81,28-11-2024,12.59,Debit Card,Gold,3.5
7,Michael Nichols,36-45,Female,North America,Books,2680.41,392.65,11-07-2024,15.98,Bank Transfer,Platinum,2.7
8,Heidi Young,18-25,Other,Europe,Clothing,3134.98,68.67,14-05-2024,2.95,Bank Transfer,Bronze,2
9,Cathy Little,18-25,Other,Europe,Electronics,3558.31,277.31,27-02-2024,27.55,Cash,Silver,4.3
10,James Myers,18-25,Female,Asia,Groceries,636.34,590.37,02-03-2024,16.25,Debit Card,Gold,4.7
11,Holly Vega,60+,Other,Asia,Sports,4786.79,426.19,07-07-2024,15.76,Bank Transfer,Bronze,1.8
12,Crystal Sampson,46-60,Female,Europe,Sports,2511.43,1397.91,13-02-2024,1.98,Digital Wallet,Gold,1.5
13,Scott Mills,36-45,Male,Europe,Furniture,716.72,157.96,07-07-2024,26.79,Bank Transfer,Platinum,2.8
14,Ashley Norman,46-60,Other,Africa,Sports,4312.34,1025.34,21-05-2024,3.34,Cash,Platinum,1.9
15,Jamie Bradley,60+,Female,North America,Groceries,4968.65,1467.3,14-12-2024,15.21,Digital Wallet,Bronze,1.1
16,William Morgan,26-35,Male,North America,Books,2396.4,1245.26,06-11-2024,2.3,Debit Card,Platinum,4.1
17,Monique Whitehead,18-25,Female,Africa,Toys,3632.46,1195.64,06-07-2024,15.31,Debit Card,Silver,1
18,Karen Bradley,46-60,Male,North America,Groceries,3318.99,1000.25,08-08-2024,17.8,Cash,Platinum,1.8
19,Kelly Ray,36-45,Male,Europe,Groceries,1759.58,28.62,24-02-2024,20.11,Credit Card,Gold,4.7
20,Phillip Perry,60+,Male,Australia,Clothing,1206.79,576.36,10-12-2024,21.66,Digital Wallet,Silver,2
21,Sarah Yang,60+,Male,Asia,Toys,2805.9,1110.63,10-05-2024,29.91,Bank Transfer,Gold,3.5
22,Lisa Stewart,18-25,Other,North America,Clothing,3901.45,1408.99,24-09-2024,11.95,Debit Card,Gold,3.6
23,Donna Randall,18-25,Male,Australia,Sports,188.08,434.56,16-06-2024,10.6,Digital Wallet,Bronze,4.1
24,Tara Fisher,46-60,Other,Australia,Clothing,926.72,1393.42,28-04-2024,20.64,Bank Transfer,Platinum,2.7
25,Joshua Smith,26-35,Male,Asia,Sports,1310.5,1151.99,04-06-2024,4.78,Digital Wallet,Silver,3.4
26,Garrett Barnes,60+,Other,Asia,Groceries,2796.22,776.95,16-11-2024,10.97,Digital Wallet,Gold,2
27,Jeremy Nelson,46-60,Male,Australia,Books,238.14,1393.03,13-08-2024,15.68,Cash,Gold,4.6
28,Sara King,36-45,Other,Europe,Sports,928.18,784.83,12-08-2024,25.64,Credit Card,Bronze,3.8
29,Leonard Hahn,60+,Male,North America,Books,1247.03,592.24,28-07-2024,1.13,Credit Card,Gold,1.5
30,David Baker,36-45,Other,Asia,Toys,628.6,468.12,23-05-2024,3.87,Credit Card,Silver,4.7
31,Jessica Smith,26-35,Female,Australia,Furniture,568.11,1402.33,28-05-2024,16.22,Debit Card,Gold,3.3
32,Kenneth Jacobs,60+,Female,North America,Clothing,4372.46,837.27,21-11-2024,8.88,Digital Wallet,Silver,4.1
33,Carly Smith,18-25,Male,North America,Clothing,2097.33,861.5,27-11-2024,9.2,Debit Card,Bronze,2.4
34,Anne Baird,26-35,Male,North America,Sports,4640.93,789.25,07-07-2024,22.98,Credit Card,Silver,4.5
35,Matthew Finley,46-60,Other,Europe,Books,3222.82,959.16,03-05-2024,17.76,Cash,Gold,2.5
36,Dr. Tony Peterson MD,36-45,Female,Australia,Toys,4938.75,247.32,28-03-2024,27.35,Digital Wallet,Platinum,4.8
37,Sarah Boyd,46-60,Male,Asia,Sports,3696.5,303.49,06-06-2024,26.27,Debit Card,Bronze,4.3
38,Mark Cox,18-25,Female,Asia,Toys,3644.18,272.65,30-04-2024,16.79,Digital Wallet,Bronze,1
39,William Williams,46-60,Male,Australia,Clothing,3869.7,703.51,06-07-2024,4.03,Bank Transfer,Gold,4.6
40,Julia Coleman,46-60,Male,Asia,Furniture,2738.1,1419.82,16-09-2024,1.06,Credit Card,Platinum,2.8
41,Cameron Hernandez,36-45,Male,Europe,Furniture,4457.48,714.8,23-03-2024,2.2,Bank Transfer,Bronze,3.4
42,Richard Mendoza,26-35,Male,Asia,Books,4230.27,1151.81,10-06-2024,20.78,Bank Transfer,Silver,2
43,Joann Price,36-45,Male,Africa,Sports,2557.49,823.17,16-03-2024,4.67,Credit Card,Bronze,2.9
44,Victor Wilson,60+,Other,Australia,Sports,2204.45,1065.96,10-08-2024,2.23,Cash,Platinum,4.8
45,Jenna Bowman,46-60,Female,Asia,Clothing,4674.28,1465.28,03-09-2024,22.93,Debit Card,Bronze,1.3
46,Jermaine Anderson,60+,Other,Africa,Sports,3919.44,800.46,26-01-2024,8.15,Credit Card,Gold,4
47,Christopher Terrell,26-35,Male,North America,Groceries,708.94,1050.98,06-07-2024,24.98,Debit Card,Gold,3.2
48,Meredith Torres,26-35,Other,North America,Electronics,606.79,942.53,11-03-2024,20.28,Bank Transfer,Silver,1.9
49,April Miller,60+,Other,Australia,Groceries,3917.73,1064.04,06-04-2024,22.54,Debit Card,Silver,3.6
50,Laura Harrison,18-25,Male,Asia,Groceries,399.89,616.63,10-08-2024,1,Credit Card,Bronze,5
51,Katherine Campos,26-35,Female,Australia,Clothing,4551.71,432.53,27-09-2024,5.44,Credit Card,Bronze,1.4
52,Stephen Cooper,18-25,Male,Asia,Toys,1436.74,145.21,10-12-2024,21.47,Bank Transfer,Silver,1.7
53,Frank Johnson,36-45,Male,Australia,Books,1121.65,249.7,03-11-2024,8.37,Cash,Gold,2
54,Stephanie Higgins,18-25,Male,Australia,Furniture,3665.73,713.42,12-01-2024,28.16,Debit Card,Silver,1.4
55,Courtney Peterson,26-35,Other,Australia,Groceries,2748.05,70.08,23-01-2024,27.89,Cash,Silver,3.1
56,Tracy Baxter,46-60,Female,Europe,Books,1241.93,426.57,14-09-2024,21.33,Credit Card,Platinum,3.6
57,Douglas Gaines,26-35,Male,Europe,Sports,2329.71,55.69,11-03-2024,20.97,Digital Wallet,Platinum,4.4
58,Suzanne Combs,46-60,Other,North America,Clothing,2050.14,640.29,08-04-2024,2.02,Digital Wallet,Bronze,1.7
59,Joshua Martin,60+,Female,Europe,Toys,3139.86,581.03,09-02-2024,26.17,Bank Transfer,Platinum,4.1
60,Carrie Huffman,46-60,Other,North America,Books,4558.13,1222.82,10-12-2024,19.35,Credit Card,Silver,4.2
61,Daniel Myers,18-25,Other,Africa,Sports,2512.87,1053.01,05-09-2024,2.12,Digital Wallet,Gold,2.1
62,Ryan Adams,60+,Female,Asia,Electronics,2942.5,439.32,23-07-2024,27.32,Cash,Silver,2.4
63,Alexis Goodman,26-35,Female,North America,Clothing,2268.57,1016.78,22-07-2024,8.94,Credit Card,Silver,2.2
64,Alexander Bennett,60+,Male,Europe,Electronics,4907.26,602.12,09-01-2024,10.54,Credit Card,Gold,3.3
65,Patricia Brown,18-25,Male,Australia,Furniture,737.66,664.45,22-07-2024,7.82,Bank Transfer,Gold,3.4
66,Alyssa Santos,36-45,Female,Asia,Sports,1542.13,717.71,26-01-2024,9.71,Cash,Bronze,1.2
67,Tiffany Mendez,36-45,Female,Asia,Furniture,1106.5,684.16,03-11-2024,26.95,Bank Transfer,Gold,3.5
68,Jose Moore,26-35,Other,Asia,Sports,1776.35,892.45,02-09-2024,13.5,Digital Wallet,Gold,4.6
69,Anthony Martinez,60+,Female,North America,Toys,2705.33,884,16-07-2024,15.57,Debit Card,Gold,1.2
70,Gary Wilson,36-45,Other,North America,Electronics,3673.88,483.71,17-02-2024,27.71,Bank Transfer,Silver,3.7
71,Veronica Young,60+,Male,North America,Toys,2404.48,1235.01,22-10-2024,15.03,Cash,Gold,1.4
72,Danny Lopez,46-60,Male,North America,Books,1259.38,1301.9,25-01-2024,20.81,Cash,Bronze,4
73,Cheryl Welch,18-25,Male,Europe,Sports,2723.7,833.53,03-12-2024,18.84,Digital Wallet,Platinum,1.5
